City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,jalu,LY,83.44,clear sky,29.0331,21.5482,صاحبة الفخامة
2,hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
6,hilo,US,79.79,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,hobyo,SO,76.89,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
21,krumovgrad,BG,75.04,clear sky,41.4667,25.65,Hotel Divna
25,tiarei,PF,82.42,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
32,balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,ibis Balikpapan
35,atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
38,haines junction,CA,82.35,few clouds,60.7522,-137.5108,Parkside Inn
42,robertsport,LR,77.58,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
49,thompson,CA,84.36,smoke,55.7435,-97.8558,Burntwood Hotel
59,butaritari,KI,83.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
60,lac du bonnet,CA,77.59,scattered clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
70,tukrah,LY,79.66,clear sky,32.5341,20.5791,Lokta restaurant
84,faanui,PF,78.12,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
90,kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
98,kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
101,samana,DO,79.16,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
102,bandarbeyla,SO,82.09,few clouds,9.4942,50.8122,JABIR HOTEL
103,biak,ID,80.83,few clouds,-0.9131,122.8766,Penginapan Kim
106,pacific grove,US,81.57,scattered clouds,36.6177,-121.9166,Lovers Point Inn
107,lorengau,PG,84.56,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,puerto escondido,MX,82.67,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
112,jiaonan,CN,78.82,light rain,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
114,vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
123,aklavik,CA,77.72,overcast clouds,68.2191,-135.0107,Aklavik Inn
129,sinnamary,GF,78.03,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
130,mayo,US,76.15,clear sky,38.8876,-76.5119,Resorts Resource Group International
134,kentau,KZ,80.85,broken clouds,43.5206,68.5094,Safary
145,alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
150,alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
153,soc trang,VN,78.76,overcast clouds,9.6033,105.98,Phu Quy Hotel
154,revelganj,IN,76.91,heavy intensity rain,25.7833,84.6667,U P Singh
157,ixtapa,MX,82.69,clear sky,20.7,-105.2,Hotel Plaza Providencia
160,namatanai,PG,84.42,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
162,labuhan,ID,80.24,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
172,veraval,IN,81.28,overcast clouds,20.9,70.3667,Lords Inn Somnath
174,guerrero negro,MX,78.21,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
179,axim,GH,75.38,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
181,sao filipe,CV,75.63,few clouds,14.8961,-24.4956,Hotel Xaguate
182,half moon bay,US,83.75,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
183,auki,SB,81.39,scattered clouds,-8.7676,160.7034,Auki Motel
184,cockburn town,TC,82.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
186,araguacu,BR,77.59,clear sky,-12.9306,-49.8264,Hotel Tocantins
187,taraz,KZ,77.29,broken clouds,42.9,71.3667,Comfort Inn
188,high prairie,CA,83.5,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
189,fomboni,KM,76.3,clear sky,-12.28,43.7425,Auberge les abou
191,tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
192,georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
196,zhezkazgan,KZ,79.32,clear sky,47.8043,67.7144,Hotel Zumrat
203,shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
205,komsomolskiy,UZ,76.42,few clouds,40.4272,71.7189,Ikathouse
208,makakilo city,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
213,liangxiang,CN,82.31,clear sky,39.7319,116.14,Jinjiang Inn Beijing Liangxiang Nanguan Subway Station
215,cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
218,gizo,SB,80.98,light rain,-8.103,156.8419,Imagination Island
221,semnan,IR,76.06,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
227,banda aceh,ID,80.71,overcast clouds,5.5577,95.3222,Sulthan Hotel International
231,bengkulu,ID,75.9,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,alexandria,EG,79.34,clear sky,31.2156,29.9553,Royal Crown Hotel
235,pochutla,MX,78.98,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
240,itarema,BR,75.92,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
246,kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
257,lufilufi,WS,77.79,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
260,kralendijk,BQ,81.43,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
263,seoul,KR,81.01,overcast clouds,37.5683,126.9778,롯데호텔 서울
264,semporna,MY,79.0,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
267,chabahar,IR,82.74,overcast clouds,25.2919,60.643,هتل گدروشیا
268,kapit,MY,75.65,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
270,slave lake,CA,76.98,clear sky,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
277,kokopo,PG,84.06,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
279,nimaparha,IN,79.2,broken clouds,20.0667,86.0167,Maa Karanjai Sweet And Hotel 🏨
286,isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
287,bulalacao,PH,83.08,overcast clouds,12.3254,121.3435,By The Sea Hotels
289,wadi maliz,TN,78.46,clear sky,36.4681,8.5495,HOPITAL
291,yaring,TH,77.04,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
292,kapoeta,SS,76.53,overcast clouds,4.7717,33.5903,Eastgate Hotel
294,amahai,ID,81.81,few clouds,-3.3333,128.9167,HOTEL ISABELA
295,ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
297,cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
298,durgapur,IN,81.45,overcast clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
307,vanderhoof,CA,84.74,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
313,kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
315,dzilam gonzalez,MX,78.94,overcast clouds,21.2833,-88.9333,posadas
316,jacareacanga,BR,83.64,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
319,puerto plata,DO,84.45,few clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
321,buala,SB,79.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
323,kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
324,mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
326,oussouye,SN,78.89,light rain,12.485,-16.5469,Auberge du Routard
329,floriano,BR,79.47,overcast clouds,-6.7669,-43.0225,Hotel Maktub
333,malinao,PH,76.08,overcast clouds,7.5917,124.6889,BARBER'S FARM AND RESORT
334,chavakkad,IN,75.27,overcast clouds,10.5333,76.05,Rajah Island
339,monrovia,LR,76.64,overcast clouds,6.3005,-10.7969,Sunset Inn
340,touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
343,aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
346,bassila,BJ,75.07,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
348,acapulco,MX,82.85,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
349,teknaf,BD,78.21,overcast clouds,20.8624,92.3058,Forestry Guesthouse
350,hede,CN,84.13,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
356,bac lieu,VN,82.6,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
357,palembang,ID,78.89,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
360,vigia,BR,78.85,overcast clouds,-0.8583,-48.1417,Hotel Bom Jesus
361,matara,LK,77.59,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
369,harper,LR,76.3,overcast clouds,4.375,-7.7169,Screensaver
371,sirjan,IR,76.44,broken clouds,29.452,55.6814,MAPNA Building
380,turayf,SA,77.25,clear sky,31.6725,38.6637,Turaif
382,casteltermini,IT,80.76,scattered clouds,37.5405,13.6445,Tenuta Lanza Il Mulino
386,macapa,BR,80.58,broken clouds,0.0389,-51.0664,Atalanta Hotel
389,havelock,US,75.94,moderate rain,34.8791,-76.9013,Sherwood Motel
391,daru,PG,79.83,clear sky,-9.0763,143.2092,Daru Lodge
397,shahr-e babak,IR,75.22,scattered clouds,30.1165,55.1186,Duna Ecolodge
398,pachino,IT,80.64,clear sky,36.7186,15.0907,Pietra Bianca B&B
419,zhenhai,CN,83.08,overcast clouds,24.2582,118.0905,In Zhijian Guesthouse
425,hutchinson,US,83.43,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
429,misratah,LY,84.43,clear sky,32.3754,15.0925,فندق الماسة
434,tezu,IN,82.78,clear sky,27.9167,96.1667,Circuit House
442,kahului,US,83.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
445,caldwell,US,84.47,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
449,temerloh,MY,76.8,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
452,kassala,SD,75.63,overcast clouds,15.451,36.4,Amassi Hotel Gash
455,kerman,IR,76.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
458,tura,IN,75.27,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
459,labrea,BR,77.7,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
461,fengrun,CN,76.8,broken clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
465,indianola,US,75.85,scattered clouds,41.3581,-93.5574,Quality Inn Indianola
468,marsh harbour,BS,84.4,broken clouds,26.5412,-77.0636,Abaco Beach Resort
469,carmen,MX,80.64,overcast clouds,18.6333,-91.8333,Hotel Lossandes
472,ciudad bolivar,VE,77.23,overcast clouds,8.1222,-63.5497,Hotel Edi
473,camocim,BR,77.29,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
481,palauig,PH,82.08,overcast clouds,15.435,119.9045,Myhousebythesea
484,saint-georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
485,mareeba,AU,78.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
486,luganville,VU,76.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
497,atasu,KZ,75.63,clear sky,48.6814,71.6433,Dostyk
507,nanakuli,US,84.04,clear sky,21.3906,-158.1547,Camp Pālehua
513,cutro,IT,81.39,clear sky,39.0353,16.9819,Gallella Viaggi - Agenzia Viaggi e Turismo
517,weligama,LK,77.9,scattered clouds,5.9667,80.4167,Weligama Bay Resort
521,madang,PG,83.26,few clouds,-5.2246,145.7966,Comfort Inn Hotel
523,dwarka,IN,81.7,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
525,qiongshan,CN,78.78,light intensity shower rain,20.0058,110.3542,Sun City Restaurant
529,marawi,PH,82.65,broken clouds,7.9986,124.2928,Derogongan Residence
532,noshiro,JP,83.34,clear sky,40.2039,140.0242,Azuma Ryokan
535,hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
536,wanning,CN,82.72,light rain,18.8003,110.3967,Paradise Hotel
541,san cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
542,morehead,US,76.75,clear sky,37.2711,-87.1764,CCI Express Inn
552,revadanda,IN,82.4,overcast clouds,18.5503,72.9278,OYO 22032 P P Motel
555,amarante do maranhao,BR,78.84,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
556,mitsamiouli,KM,75.65,clear sky,-11.3847,43.2844,Foyer ADM
557,pangkalanbuun,ID,81.79,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
560,the valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
567,samarai,PG,78.42,overcast clouds,-10.6167,150.6667,Nuli Sapi
568,waingapu,ID,82.85,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
571,durusu,TR,77.18,clear sky,41.3053,28.6767,Çınar Pansiyon
600,bobo dioulasso,BF,75.65,clear sky,11.1771,-4.2979,RAN Hotel Somketa
602,besikduzu,TR,78.69,scattered clouds,41.052,39.2284,YKT
606,fredericksburg,US,77.04,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
608,isla aguada,MX,80.64,overcast clouds,18.7833,-91.4667,Freedom Shores
610,japura,ID,77.41,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
616,port said,EG,82.38,clear sky,31.2565,32.2841,Aracan Hotel
621,kenai,US,75.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
628,flagstaff,US,75.88,thunderstorm,35.1981,-111.6513,Drury Inn & Suites Flagstaff
629,college,US,77.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
631,ternate,ID,82.87,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
632,great bend,US,82.89,clear sky,38.3645,-98.7648,Best Western Angus Inn
635,bouillante,GP,79.83,clear sky,16.1304,-61.7692,Gîtes Dardanelle
640,coahuayana,MX,83.1,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
642,banjarmasin,ID,78.94,few clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
644,pundaguitan,PH,84.16,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
646,mackay,AU,79.05,clear sky,-21.15,149.2,International Lodge Motel
648,winnemucca,US,84.11,clear sky,40.973,-117.7357,Winners Inn Casino
649,boyolangu,ID,77.79,broken clouds,-8.1181,111.8935,Yos ega cv
656,erzin,TR,77.0,clear sky,36.9559,36.2,Artemis Otel
658,elizabeth city,US,80.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
660,san angelo,US,82.63,overcast clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
662,sakrand,PK,80.55,haze,26.1384,68.2736,New Mashaallah Hotel
668,fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
671,nampa,US,81.64,clear sky,43.5407,-116.5635,Nampa Downtown
675,innisfail,AU,76.35,clear sky,-17.5333,146.0333,Moondarra Motel
676,basco,PH,81.55,light rain,20.4487,121.9702,Nathaniel's Lodge
685,saint anthony,US,76.82,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
686,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
688,porlamar,VE,84.29,clear sky,10.958,-63.8491,Hotel Bella Vista
691,korla,CN,77.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
